Employee_ID,Gender,Age,Marital_Status,City,Department,Job_Role,Education,Experience_Years,Employment_Type,Joining_Date,Last_Working_Date,Tenure_Years,Salary,Performance_Rating,Performance_Improvement_Plan,Num_Trainings,Leave_Count,Manager_ID,Attrition
E100001,Female,34,Married,Delhi,HR,HR Executive,Bachelors,7.9,Full-time,2009-12-13,,15.87,50390,4,No,0,5,E101792,No
E100002,Male,29,Single,Mumbai,Customer Support,Support Agent,Bachelors,6.6,Full-time,2023-09-24,,2.09,39346,3,No,1,5,E102708,No
E100003,Male,28,Married,Bengaluru,Customer Support,Support Agent,Bachelors,6.0,Full-time,2011-06-27,,14.34,50237,3,No,0,6,E100800,No
E100004,Male,28,Married,Pune,Finance,Accountant,Bachelors,8.0,Full-time,2024-05-13,,1.46,48946,2,No,0,7,E100058,No
E100005,Male,36,Married,Hyderabad,R&D,Product Analyst,MBA,10.3,Full-time,2016-02-10,,9.71,56137,3,No,1,6,E104134,No
E100006,Male,27,Married,Delhi,Finance,Finance Manager,Masters,5.3,Full-time,2016-07-10,,9.3,47723,4,No,1,5,,No
E100007,Female,39,Married,Chennai,Marketing,Brand Manager,Bachelors,7.1,Full-time,2023-05-01,,2.49,49539,3,No,1,7,E101767,No
E100008,Female,32,Single,Ahmedabad,HR,Recruiter,Bachelors,6.3,Full-time,2022-05-09,,3.47,44967,1,No,2,4,E104768,No
E100009,Male,35,Married,Mumbai,Finance,Finance Manager,Masters,13.3,Full-time,2009-06-26,,16.34,60628,3,No,2,5,E100006,No
E100010,Female,21,Married,Kolkata,Finance,Finance Manager,Bachelors,0.9,Full-time,2011-03-16,2017-04-22,6.1,33217,3,No,2,8,E102965,Yes
E100011,Female,32,Married,Kolkata,IT,Data Analyst,Bachelors,12.0,Full-time,2012-12-01,,12.91,58230,3,No,0,8,E100933,No
E100012,Male,26,Married,Bengaluru,IT,DevOps Engineer,Masters,3.7,Full-time,2017-06-20,,8.36,40426,4,No,1,4,E103421,No
E100013,Male,35,Married,Mumbai,HR,HR Manager,PhD,5.6,Full-time,2020-01-16,,5.78,45682,3,No,0,7,,No
E100014,Male,30,Married,Mumbai,Marketing,Content Specialist,Bachelors,5.5,Full-time,2013-11-27,,11.92,37239,4,No,4,5,E102654,No
E100015,Female,33,Single,Chennai,IT,DevOps Engineer,Masters,3.8,Full-time,2020-02-05,,5.73,46797,4,No,1,7,E104350,No
E100016,Male,26,Single,Hyderabad,Sales,Sales Representative,High School,2.4,Contract,2020-09-21,,5.1,34491,3,No,4,4,E103709,No
E100017,Female,31,Single,Bengaluru,HR,HR Executive,Masters,8.6,Contract,2020-04-30,,5.49,47390,4,No,2,6,E102577,No
E100018,Male,32,Married,Chennai,IT,Senior Developer,Bachelors,3.8,Contract,2023-01-24,,2.76,44031,4,No,3,13,E103421,No
E100019,Female,31,Single,Delhi,Operations,Operations Manager,Bachelors,5.1,Full-time,2013-02-28,,12.66,37046,3,No,1,3,E100805,No
E100020,Male,27,Married,Mumbai,Finance,Financial Analyst,Bachelors,5.4,Full-time,2013-05-03,2019-09-30,6.41,40878,3,Yes,0,9,E100006,Yes
E100021,Male,35,Single,Ahmedabad,R&D,Research Analyst,Masters,12.2,Contract,2017-02-16,,8.7,55598,3,No,0,9,E101514,No
E100022,Male,39,Married,Ahmedabad,Finance,Financial Analyst,Bachelors,8.0,Full-time,2022-08-28,,3.17,50775,4,Yes,1,7,E103439,No
E100023,Male,32,Single,Chennai,HR,HR Executive,Bachelors,12.0,Full-time,2011-02-22,,14.68,57619,4,No,0,2,E100942,No
E100024,Male,32,Married,Ahmedabad,Customer Support,Support Agent,Bachelors,9.2,Contract,2010-03-13,2011-06-30,1.3,52744,2,No,3,4,E100517,Yes
E100025,Female,33,Single,Ahmedabad,Sales,Sales Executive,Masters,5.8,Full-time,2009-04-25,,16.51,40767,3,No,1,8,E104078,No
E100026,Male,36,Single,Ahmedabad,IT,Junior Developer,Bachelors,12.0,Contract,2024-05-20,,1.44,58916,3,No,2,9,E103535,No
E100027,Male,33,Married,Mumbai,R&D,Research Analyst,Bachelors,7.4,Full-time,2021-02-06,,4.72,51187,4,Yes,2,7,E104134,No
E100028,Female,37,Married,Delhi,R&D,Product Analyst,Bachelors,9.6,Full-time,2009-07-10,,16.3,51898,3,Yes,0,5,E100575,No
E100029,Male,29,Married,Mumbai,Finance,Accountant,Masters,5.9,Full-time,2021-02-02,,4.73,39007,2,No,5,6,E100875,No
E100030,Male,33,Single,Kolkata,Operations,Operations Manager,Masters,5.1,Full-time,2018-04-03,,7.57,46277,4,No,2,3,E104404,No
E100031,Male,33,Single,Delhi,Operations,Operations Executive,Bachelors,7.8,Full-time,2013-12-12,,11.88,49990,2,No,4,7,E104081,No
E100032,Female,26,Single,Bengaluru,IT,Senior Developer,Masters,2.7,Full-time,2014-10-14,,11.04,31904,3,No,1,13,E101987,No
E100033,Female,31,Single,Bengaluru,Sales,Sales Representative,Bachelors,5.8,Full-time,2024-08-25,,1.17,42781,2,No,4,8,E104378,No
E100034,Male,29,Single,Hyderabad,IT,Senior Developer,Bachelors,6.8,Full-time,2009-02-20,,16.68,44329,3,No,2,7,E103020,No
E100035,Male,44,Married,Bengaluru,HR,Recruiter,Bachelors,24.0,Full-time,2024-08-16,,1.2,79004,4,No,0,4,E102428,No
E100036,Female,21,Single,Bengaluru,R&D,Product Analyst,Bachelors,1.0,Full-time,2021-01-23,,4.76,41544,3,No,2,8,E100989,No
E100037,Male,21,Married,Mumbai,IT,Junior Developer,Bachelors,0.5,Contract,2013-08-06,,12.23,30782,4,No,0,3,E100326,No
E100038,Female,28,Married,Bengaluru,HR,HR Manager,Masters,2.7,Full-time,2011-08-24,,14.18,37149,4,No,1,2,E102678,No
E100039,Male,31,Married,Kolkata,IT,Junior Developer,Masters,3.8,Full-time,2013-07-25,,12.26,40385,2,No,2,5,E101643,No
E100040,Female,35,Single,Ahmedabad,Marketing,Digital Marketing Executive,Bachelors,11.8,Full-time,2018-04-28,,7.5,53477,2,No,2,4,E102328,No
E100041,Female,32,Single,Chennai,Operations,Operations Manager,Masters,10.1,Full-time,2009-07-22,,16.27,50310,3,No,2,2,E100805,No
E100042,Female,28,Married,Pune,Marketing,Brand Manager,Bachelors,2.6,Contract,2013-11-09,,11.97,43948,4,No,2,6,E101679,No
E100043,Female,21,Single,Kolkata,IT,DevOps Engineer,Bachelors,1.0,Full-time,2017-10-14,,8.04,37110,3,No,1,3,E100350,No
